Date,Rate,CGST%,Qty,CGST,SGST%,SGST,SlNo,Amount,IGST%,Qty,Item Name,IGST,Invoice No
09-04-24,4.66,9.00,0,62.91,9.00,62.91,150,824.82,0.00,150.00,VAY BAND 19070,0.00,0
09-04-24,4.66,9.00,1450,20.97,9.00,20.97,151,274.94,0.00,50.00,VAY BAND 19074,0.00,1450
09-04-24,4.66,9.00,0,41.94,9.00,41.94,152,549.88,0.00,100.00,VAY BAND REALWOOD-2 DARK MAT,0.00,0
09-04-24,4.66,9.00,50,20.97,9.00,20.97,153,274.94,0.00,50.00,VAY BAND 1003 (0.5 MM),0.00,50
09-04-24,4.66,9.00,13650,41.94,9.00,41.94,154,549.88,0.00,100.00,VAY BAND 1735 (.45X22MM),0.00,13650
09-04-24,6.99,9.00,5350,188.73,9.00,188.73,155,2474.46,0.00,300.00,VAY BAND 1261HG (DARK GREY),0.00,5350
09-04-24,6.99,9.00,5350,314.55,9.00,314.55,156,4124.10,0.00,500.00,VAY BAND 1261HG (DARK GREY),0.00,5350
09-04-24,8.06,9.00,2550,36.27,9.00,36.27,157,475.54,0.00,50.00,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,0.00,2550
09-04-24,11.02,9.00,3800,49.59,9.00,49.59,158,650.18,0.00,50.00,VAY BAND 10659 40MM,0.00,3800
12-04-24,3.94,9.00,13800,35.46,9.00,35.46,159,464.92,0.00,100.00,VB-1044 (0.45MMX22MM),0.00,13800
12-04-24,3.94,9.00,13800,35.46,9.00,35.46,160,464.92,0.00,100.00,VB-1044 (0.45MMX22MM),0.00,13800
12-04-24,3.94,9.00,13800,17.73,9.00,17.73,161,232.46,0.00,50.00,VB-1044 (0.45MMX22MM),0.00,13800
12-04-24,3.94,9.00,15550,17.73,9.00,17.73,162,232.46,0.00,50.00,VB-1803 ASH DARK(0.45MMX22MM),0.00,15550
12-04-24,4.03,9.00,0,36.27,9.00,36.27,163,475.54,0.00,100.00,VAY BAND 1114MT,0.00,0
12-04-24,4.03,9.00,0,54.40,9.00,54.40,164,713.30,0.00,150.00,VAY BAND 1113MT(OFF-WHITE),0.00,0
12-04-24,4.03,9.00,0,54.40,9.00,54.40,165,713.30,0.00,150.00,VAY BAND 1114MT,0.00,0
12-04-24,4.03,9.00,0,36.27,9.00,36.27,166,475.54,0.00,100.00,VAY BAND 1113MT(OFF-WHITE),0.00,0
12-04-24,4.03,9.00,0,18.14,9.00,18.14,167,237.78,0.00,50.00,VAY BAND 1261MATT (DARK GREY),0.00,0
12-04-24,4.33,9.00,1150,38.97,9.00,38.97,168,510.94,0.00,100.00,VAY BAND 4013MT,0.00,1150
12-04-24,4.33,9.00,1450,38.97,9.00,38.97,169,510.94,0.00,100.00,VAY BAND 19074,0.00,1450
12-04-24,4.33,9.00,50,38.97,9.00,38.97,170,510.94,0.00,100.00,VAY BAND 1003 (0.5 MM),0.00,50
12-04-24,4.33,9.00,7300,38.97,9.00,38.97,171,510.94,0.00,100.00,VAY BAND 11510,0.00,7300
12-04-24,4.33,9.00,5200,58.46,9.00,58.46,172,766.42,0.00,150.00,VAY BAND 1873,0.00,5200
12-04-24,4.33,9.00,0,38.97,9.00,38.97,173,510.94,0.00,100.00,VAY BAND 19070,0.00,0
