SlNo,Invoice No,Date,Item Name,Rate,Qty,CGST%,CGST,SGST%,SGST,IGST%,IGST,Amount
232,57,10/4/2025,VAY BAND 1126 MT .45X22MM,3.6,250,9,81,9,81,0,0,1062
233,57,10/4/2025,VAY BAND 1133MT0.5X22MM,4.03,150,9,54.4,9,54.4,0,0,713.3
234,57,10/4/2025,VAY BAND 1313 HG CLUD GREY,6.19,250,9,139.28,9,139.28,0,0,1826.06
235,57,10/4/2025,VAY BAND1135 HG{.5},6.19,250,9,139.28,9,139.28,0,0,1826.06
236,57,10/4/2025,VAY BAND1135MT 0.5X22MM,4.03,150,9,54.4,9,54.4,0,0,713.3
237,57,10/4/2025,VAY BAND1136MT0.5X22MM,4.03,100,9,36.27,9,36.27,0,0,475.54
238,58,10/4/2025,VAY BAND 1313 HG CLUD GREY,6.19,100,9,55.71,9,55.71,0,0,730.42
239,59,11/4/2025,VAY BAND 1126 HG (.5),6.19,300,9,167.13,9,167.13,0,0,2191.26
240,59,11/4/2025,VAY BAND 1264 HG (0.5X22MM) DARK GREY,6.19,200,9,111.42,9,111.42,0,0,1460.84
241,59,11/4/2025,VAY BAND 19070 0.5MMX40MM,11.03,250,9,248.18,9,248.18,0,0,3253.86
242,59,11/4/2025,VAY BAND REALWUD3 - 0.5X40MM,11.03,150,9,148.9,9,148.9,0,0,1952.3
243,59,11/4/2025,VAY BAND1114HG,6.19,500,9,278.55,9,278.55,0,0,3652.1
244,59,11/4/2025,VAY BAND1135 HG{.5},6.19,500,9,278.55,9,278.55,0,0,3652.1
245,59,11/4/2025,VB-10485(0.45X22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
246,59,11/4/2025,VB-10659 (0.45X22MM),3.94,300,9,106.38,9,106.38,0,0,1394.76
