Item Code / SKU,Item Key,Item Name,Overall Monthly Velocity Qty,Recent Monthly Velocity Qty,Weighted Velocity Qty,Velocity Percentile,Velocity Class,Sales Frequency %,Recent Sales Frequency %,Consistency Class
VB-10944(0.45X22MM),VB-10944(0.45X22MM),VB-10944(0.45X22MM),176.25,358.3333333333333,303.7083333333333,73.22834645669292,Medium Moving,27.5,50.0,Irregular
VB-1113 MAT OFF-WHITE (0.45MMX22MM),VB-1113 MAT OFF-WHITE (0.45MMX22MM),VB-1113 MAT OFF-WHITE (0.45MMX22MM),4210.0,3850.0,3958.0,98.4251968503937,Very Fast Moving,47.5,50.0,Irregular
VB-1113MAT(0.8MMX40MM),VB-1113MAT(0.8MMX40MM),VB-1113MAT(0.8MMX40MM),1.25,0.0,0.375,1.3779527559055118,Dormant,2.5,0.0,Dormant
VB-1114 MAT (0.45MMX22MM),VB-1114 MAT (0.45MMX22MM),VB-1114 MAT (0.45MMX22MM),3472.5,4658.333333333333,4302.583333333333,99.21259842519686,Very Fast Moving,37.5,50.0,Irregular
VB-1114 MT (0.8MMX40MM),VB-1114 MT (0.8MMX40MM),VB-1114 MT (0.8MMX40MM),2.5,0.0,0.75,1.968503937007874,Dormant,5.0,0.0,Dormant
VB-1115 (0.45X22MM),VB-1115 (0.45X22MM),VB-1115 (0.45X22MM),325.0,416.6666666666667,389.1666666666667,78.74015748031496,Fast Moving,32.5,50.0,Irregular
VB-1117 (0.45X22MM),VB-1117 (0.45X22MM),VB-1117 (0.45X22MM),203.75,83.33333333333333,119.45833333333333,55.51181102362205,Medium Moving,30.0,33.33333333333333,Irregular
VB-1118 (0.45X22MM),VB-1118 (0.45X22MM),VB-1118 (0.45X22MM),475.0,458.3333333333333,463.3333333333333,85.43307086614173,Fast Moving,32.5,50.0,Irregular
VB-1119 (0.45X22MM),VB-1119 (0.45X22MM),VB-1119 (0.45X22MM),702.5,725.0,718.25,90.5511811023622,Very Fast Moving,32.5,50.0,Irregular
VB-1119(0.5X40MM),VB-1119(0.5X40MM),VB-1119(0.5X40MM),21.25,100.0,76.375,42.51968503937008,Medium Moving,7.5,33.33333333333333,Irregular
VB-1119(0.8MMX22MM),VB-1119(0.8MMX22MM),VB-1119(0.8MMX22MM),32.5,41.666666666666664,38.916666666666664,25.590551181102363,Slow Moving,7.5,16.666666666666664,Irregular
VB-1119(0.8MMX40MM),VB-1119(0.8MMX40MM),VB-1119(0.8MMX40MM),5.0,16.666666666666668,13.166666666666666,13.779527559055119,Slow Moving,7.5,33.33333333333333,Irregular
VB-1120 (0.45X22MM),VB-1120 (0.45X22MM),VB-1120 (0.45X22MM),400.0,216.66666666666666,271.66666666666663,70.86614173228347,Medium Moving,32.5,50.0,Irregular
VB-1121 IVORY (0.45MMX22MM),VB-1121 IVORY (0.45MMX22MM),VB-1121 IVORY (0.45MMX22MM),207.5,66.66666666666667,108.91666666666666,50.78740157480315,Medium Moving,42.5,33.33333333333333,Irregular
VB-1121 OAK(0.45X22MM),VB-1121 OAK(0.45X22MM),VB-1121 OAK(0.45X22MM),267.5,483.3333333333333,418.5833333333333,81.49606299212599,Fast Moving,30.0,33.33333333333333,Irregular
VB-1122 (0.45X22MM),VB-1122 (0.45X22MM),VB-1122 (0.45X22MM),192.5,116.66666666666667,139.41666666666669,58.26771653543307,Medium Moving,32.5,50.0,Irregular
VB-1122 VENGA( 0.45X22MM),VB-1122 VENGA( 0.45X22MM),VB-1122 VENGA( 0.45X22MM),152.5,66.66666666666667,92.41666666666666,46.06299212598425,Medium Moving,30.0,33.33333333333333,Irregular
VB-1123 (0.45X22MM),VB-1123 (0.45X22MM),VB-1123 (0.45X22MM),171.25,50.0,86.375,44.881889763779526,Medium Moving,27.5,16.666666666666664,Irregular
VB-1127 MT(0.45X22MM),VB-1127 MT(0.45X22MM),VB-1127 MT(0.45X22MM),116.25,458.3333333333333,355.7083333333333,77.16535433070865,Fast Moving,15.0,50.0,Irregular
VB-1129 MAT(0.45MMX22MM),VB-1129 MAT(0.45MMX22MM),VB-1129 MAT(0.45MMX22MM),168.75,91.66666666666667,114.79166666666667,53.54330708661418,Medium Moving,32.5,50.0,Irregular
VB-1131(O.45X22MM),VB-1131(O.45X22MM),VB-1131(O.45X22MM),326.25,1566.6666666666667,1194.5416666666667,94.09448818897637,Very Fast Moving,12.5,50.0,Irregular
VB-1132(0.45X22MM),VB-1132(0.45X22MM),VB-1132(0.45X22MM),98.75,400.0,309.625,74.80314960629921,Medium Moving,10.0,50.0,Irregular
VB-1135 SAGE GREEN (0.45X22),VB-1135 SAGE GREEN (0.45X22),VB-1135 SAGE GREEN (0.45X22),135.0,900.0,670.5,89.37007874015748,Fast Moving,7.5,50.0,Irregular
VB-1140 BAGE (0.45MMX22MM),VB-1140 BAGE (0.45MMX22MM),VB-1140 BAGE (0.45MMX22MM),508.75,766.6666666666666,689.2916666666666,89.76377952755905,Fast Moving,47.5,50.0,Irregular
VB-1141 {0.45X22MM},VB-1141 {0.45X22MM},VB-1141 {0.45X22MM},313.75,641.6666666666666,543.2916666666666,87.4015748031496,Fast Moving,20.0,50.0,Irregular
VB-1143{0.45X2MM},VB-1143{0.45X2MM},VB-1143{0.45X2MM},68.75,225.0,178.125,62.99212598425197,Medium Moving,15.0,33.33333333333333,Irregular
